"Notes","County","County Code","2023 Urbanization","2023 Urbanization Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"San Mateo County, CA","06081","Large Fringe Metro","2","2020","2020",20,758308,2.6,1.6,4.1
,"San Mateo County, CA","06081","Large Fringe Metro","2","2022","2022",15,Not Available,Not Available,Not Available,Not Available
,"San Mateo County, CA","06081","Large Fringe Metro","2","2023","2023",11,Not Available,Not Available,Not Available,Not Available
,"San Mateo County, CA","06081","Large Fringe Metro","2","2024 ","2024",14,Not Available,Not Available,Not Available,Not Available
,"Santa Clara County, CA","06085","Large Central Metro","1","2018","2018",31,1937570,1.6,1.1,2.3
,"Santa Clara County, CA","06085","Large Central Metro","1","2019","2019",26,1927852,1.3,0.9,2.0
,"Santa Clara County, CA","06085","Large Central Metro","1","2020","2020",39,1907105,2.0,1.5,2.8
,"Santa Clara County, CA","06085","Large Central Metro","1","2021","2021",26,1885508,1.4,0.9,2.0
,"Santa Clara County, CA","06085","Large Central Metro","1","2022","2022",47,Not Available,Not Available,Not Available,Not Available
,"Santa Clara County, CA","06085","Large Central Metro","1","2023","2023",31,Not Available,Not Available,Not Available,Not Available
,"Santa Clara County, CA","06085","Large Central Metro","1","2024 ","2024",26,Not Available,Not Available,Not Available,Not Available
,"Santa Cruz County, CA","06087","Medium Metro","3","2019","2019",10,273213,3.7,1.8,6.7
,"Santa Cruz County, CA","06087","Medium Metro","3","2023","2023",10,Not Available,Not Available,Not Available,Not Available
,"Santa Cruz County, CA","06087","Medium Metro","3","2024 ","2024",10,Not Available,Not Available,Not Available,Not Available
,"Solano County, CA","06095","Medium Metro","3","2020","2020",14,446935,3.1,1.7,5.3
,"Solano County, CA","06095","Medium Metro","3","2021","2021",10,451716,2.2,1.1,4.1
,"Solano County, CA","06095","Medium Metro","3","2022","2022",10,Not Available,Not Available,Not Available,Not Available
,"Sonoma County, CA","06097","Medium Metro","3","2018","2018",12,499942,2.4,1.2,4.2
,"Sonoma County, CA","06097","Medium Metro","3","2019","2019",24,494336,4.9,3.1,7.2
,"Sonoma County, CA","06097","Medium Metro","3","2020","2020",25,489819,5.1,3.3,7.5
,"Sonoma County, CA","06097","Medium Metro","3","2021","2021",11,485887,2.3,1.1,4.1
,"Sonoma County, CA","06097","Medium Metro","3","2022","2022",17,Not Available,Not Available,Not Available,Not Available
,"Sonoma County, CA","06097","Medium Metro","3","2023","2023",19,Not Available,Not Available,Not Available,Not Available
,"Sonoma County, CA","06097","Medium Metro","3","2024 ","2024",18,Not Available,Not Available,Not Available,Not Available
