"Notes","County","County Code","2023 Urbanization","2023 Urbanization Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Essex County, MA","25009","Large Fringe Metro","2","2024 ","2024",19,Not Available,Not Available,Not Available,Not Available
,"Hampden County, MA","25013","Medium Metro","3","2022","2022",15,Not Available,Not Available,Not Available,Not Available
,"Hampden County, MA","25013","Medium Metro","3","2023","2023",14,Not Available,Not Available,Not Available,Not Available
,"Hampden County, MA","25013","Medium Metro","3","2024 ","2024",15,Not Available,Not Available,Not Available,Not Available
,"Middlesex County, MA","25017","Large Fringe Metro","2","2018","2018",13,1614714,0.8,0.4,1.4
,"Middlesex County, MA","25017","Large Fringe Metro","2","2019","2019",10,1611699,0.6,0.3,1.1
,"Middlesex County, MA","25017","Large Fringe Metro","2","2020","2020",14,1609379,0.9,0.5,1.5
,"Middlesex County, MA","25017","Large Fringe Metro","2","2021","2021",24,1614742,1.5,1.0,2.2
,"Middlesex County, MA","25017","Large Fringe Metro","2","2022","2022",28,Not Available,Not Available,Not Available,Not Available
,"Middlesex County, MA","25017","Large Fringe Metro","2","2023","2023",19,Not Available,Not Available,Not Available,Not Available
,"Middlesex County, MA","25017","Large Fringe Metro","2","2024 ","2024",21,Not Available,Not Available,Not Available,Not Available
,"Norfolk County, MA","25021","Large Fringe Metro","2","2023","2023",17,Not Available,Not Available,Not Available,Not Available
,"Plymouth County, MA","25023","Large Fringe Metro","2","2022","2022",14,Not Available,Not Available,Not Available,Not Available
,"Plymouth County, MA","25023","Large Fringe Metro","2","2023","2023",12,Not Available,Not Available,Not Available,Not Available
,"Suffolk County, MA","25025","Large Central Metro","1","2018","2018",15,807252,1.9,1.0,3.1
,"Suffolk County, MA","25025","Large Central Metro","1","2020","2020",20,801582,2.5,1.5,3.9
,"Suffolk County, MA","25025","Large Central Metro","1","2022","2022",22,Not Available,Not Available,Not Available,Not Available
,"Suffolk County, MA","25025","Large Central Metro","1","2023","2023",22,Not Available,Not Available,Not Available,Not Available
,"Suffolk County, MA","25025","Large Central Metro","1","2024 ","2024",21,Not Available,Not Available,Not Available,Not Available
,"Worcester County, MA","25027","Medium Metro","3","2018","2018",11,830839,1.3,0.7,2.4
,"Worcester County, MA","25027","Medium Metro","3","2020","2020",10,829212,1.2,0.6,2.2
,"Worcester County, MA","25027","Medium Metro","3","2021","2021",11,862029,1.3,0.6,2.3
,"Worcester County, MA","25027","Medium Metro","3","2022","2022",16,Not Available,Not Available,Not Available,Not Available
,"Worcester County, MA","25027","Medium Metro","3","2023","2023",19,Not Available,Not Available,Not Available,Not Available
,"Worcester County, MA","25027","Medium Metro","3","2024 ","2024",12,Not Available,Not Available,Not Available,Not Available
,"Genesee County, MI","26049","Medium Metro","3","2018","2018",11,406892,2.7,1.3,4.8
,"Genesee County, MI","26049","Medium Metro","3","2020","2020",13,404794,3.2,1.7,5.5
,"Genesee County, MI","26049","Medium Metro","3","2024 ","2024",10,Not Available,Not Available,Not Available,Not Available
,"Ingham County, MI","26065","Medium Metro","3","2019","2019",10,292406,3.4,1.6,6.3
,"Kent County, MI","26081","Large Central Metro","1","2018","2018",11,653786,1.7,0.8,3.0
,"Macomb County, MI","26099","Large Fringe Metro","2","2018","2018",13,874759,1.5,0.8,2.5
,"Macomb County, MI","26099","Large Fringe Metro","2","2020","2020",13,870791,1.5,0.8,2.6
,"Macomb County, MI","26099","Large Fringe Metro","2","2021","2021",16,876792,1.8,1.0,3.0
,"Macomb County, MI","26099","Large Fringe Metro","2","2023","2023",10,Not Available,Not Available,Not Available,Not Available
,"Oakland County, MI","26125","Large Fringe Metro","2","2021","2021",12,1270017,0.9,0.5,1.7
,"Wayne County, MI","26163","Large Central Metro","1","2018","2018",33,1753893,1.9,1.3,2.6
,"Wayne County, MI","26163","Large Central Metro","1","2019","2019",25,1749343,1.4,0.9,2.1
,"Wayne County, MI","26163","Large Central Metro","1","2020","2020",18,1740623,1.0,0.6,1.6
,"Wayne County, MI","26163","Large Central Metro","1","2021","2021",30,1774816,1.7,1.1,2.4
,"Wayne County, MI","26163","Large Central Metro","1","2022","2022",15,Not Available,Not Available,Not Available,Not Available
,"Wayne County, MI","26163","Large Central Metro","1","2023","2023",13,Not Available,Not Available,Not Available,Not Available
,"Wayne County, MI","26163","Large Central Metro","1","2024 ","2024",10,Not Available,Not Available,Not Available,Not Available
,"Hennepin County, MN","27053","Large Central Metro","1","2018","2018",19,1259428,1.5,0.9,2.4
,"Hennepin County, MN","27053","Large Central Metro","1","2019","2019",21,1265843,1.7,1.0,2.5
,"Hennepin County, MN","27053","Large Central Metro","1","2020","2020",30,1268408,2.4,1.6,3.4
,"Hennepin County, MN","27053","Large Central Metro","1","2021","2021",21,1267416,1.7,1.0,2.5
,"Hennepin County, MN","27053","Large Central Metro","1","2022","2022",21,Not Available,Not Available,Not Available,Not Available
,"Hennepin County, MN","27053","Large Central Metro","1","2023","2023",16,Not Available,Not Available,Not Available,Not Available
,"Hennepin County, MN","27053","Large Central Metro","1","2024 ","2024",20,Not Available,Not Available,Not Available,Not Available
,"Clark County, NV","32003","Large Central Metro","1","2018","2018",24,2231647,1.1,0.7,1.6
,"Clark County, NV","32003","Large Central Metro","1","2019","2019",20,2266715,0.9,0.5,1.4
,"Clark County, NV","32003","Large Central Metro","1","2020","2020",17,2315963,0.7,0.4,1.2
,"Clark County, NV","32003","Large Central Metro","1","2021","2021",11,2292476,0.5,0.2,0.9
,"Clark County, NV","32003","Large Central Metro","1","2022","2022",14,Not Available,Not Available,Not Available,Not Available
,"Clark County, NV","32003","Large Central Metro","1","2023","2023",25,Not Available,Not Available,Not Available,Not Available
,"Clark County, NV","32003","Large Central Metro","1","2024 ","2024",20,Not Available,Not Available,Not Available,Not Available
,"Washoe County, NV","32031","Medium Metro","3","2021","2021",10,493392,2.0,1.0,3.7
,"Washoe County, NV","32031","Medium Metro","3","2024 ","2024",10,Not Available,Not Available,Not Available,Not Available
