"Notes","County","County Code","2023 Urbanization","2023 Urbanization Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Santa Clara County, CA","06085","Large Central Metro","1","2023","2023",15,Not Available,Not Available,Not Available,Not Available
,"Santa Cruz County, CA","06087","Medium Metro","3","2018","2018",13,274255,4.7,2.5,8.1
,"Santa Cruz County, CA","06087","Medium Metro","3","2019","2019",14,273213,5.1,2.8,8.6
,"Santa Cruz County, CA","06087","Medium Metro","3","2020","2020",10,269925,3.7,1.8,6.8
,"Santa Cruz County, CA","06087","Medium Metro","3","2021","2021",12,267792,4.5,2.3,7.8
,"Shasta County, CA","06089","Small Metro","4","2020","2020",11,179027,6.1,3.1,11.0
,"Sonoma County, CA","06097","Medium Metro","3","2018","2018",24,499942,4.8,3.1,7.1
,"Sonoma County, CA","06097","Medium Metro","3","2019","2019",19,494336,3.8,2.3,6.0
,"Ventura County, CA","06111","Medium Metro","3","2018","2018",40,850967,4.7,3.4,6.4
,"Ventura County, CA","06111","Medium Metro","3","2019","2019",42,846006,5.0,3.6,6.7
,"Ventura County, CA","06111","Medium Metro","3","2020","2020",33,841387,3.9,2.7,5.5
,"Ventura County, CA","06111","Medium Metro","3","2021","2021",20,839784,2.4,1.5,3.7
,"Ventura County, CA","06111","Medium Metro","3","2023","2023",10,Not Available,Not Available,Not Available,Not Available
,"Adams County, CO","08001","Large Fringe Metro","2","2018","2018",19,511868,3.7,2.2,5.8
,"Adams County, CO","08001","Large Fringe Metro","2","2019","2019",17,517421,3.3,1.9,5.3
,"Adams County, CO","08001","Large Fringe Metro","2","2020","2020",16,519883,3.1,1.8,5.0
,"Adams County, CO","08001","Large Fringe Metro","2","2021","2021",16,522140,3.1,1.8,5.0
,"Arapahoe County, CO","08005","Large Central Metro","1","2018","2018",30,651215,4.6,3.1,6.6
,"Arapahoe County, CO","08005","Large Central Metro","1","2019","2019",29,656590,4.4,3.0,6.3
,"Arapahoe County, CO","08005","Large Central Metro","1","2020","2020",26,657452,4.0,2.6,5.8
,"Arapahoe County, CO","08005","Large Central Metro","1","2021","2021",15,654900,2.3,1.3,3.8
,"Boulder County, CO","08013","Medium Metro","3","2019","2019",14,326196,4.3,2.3,7.2
,"Boulder County, CO","08013","Medium Metro","3","2020","2020",11,327171,3.4,1.7,6.0
,"Denver County, CO","08031","Large Central Metro","1","2018","2018",38,716492,5.3,3.8,7.3
,"Denver County, CO","08031","Large Central Metro","1","2019","2019",29,727211,4.0,2.7,5.7
,"Denver County, CO","08031","Large Central Metro","1","2020","2020",25,735538,3.4,2.2,5.0
,"Denver County, CO","08031","Large Central Metro","1","2021","2021",25,711463,3.5,2.3,5.2
,"El Paso County, CO","08041","Medium Metro","3","2018","2018",64,713856,9.0,6.9,11.4
,"El Paso County, CO","08041","Medium Metro","3","2019","2019",43,720403,6.0,4.3,8.0
,"El Paso County, CO","08041","Medium Metro","3","2020","2020",57,728310,7.8,5.9,10.1
,"El Paso County, CO","08041","Medium Metro","3","2021","2021",46,737867,6.2,4.6,8.3
,"El Paso County, CO","08041","Medium Metro","3","2022","2022",25,Not Available,Not Available,Not Available,Not Available
,"El Paso County, CO","08041","Medium Metro","3","2023","2023",13,Not Available,Not Available,Not Available,Not Available
,"Jefferson County, CO","08059","Large Fringe Metro","2","2018","2018",20,580233,3.4,2.1,5.3
,"Jefferson County, CO","08059","Large Fringe Metro","2","2019","2019",12,582881,2.1,1.1,3.6
,"Jefferson County, CO","08059","Large Fringe Metro","2","2020","2020",18,583283,3.1,1.8,4.9
,"Jefferson County, CO","08059","Large Fringe Metro","2","2021","2021",16,579581,2.8,1.6,4.5
,"Larimer County, CO","08069","Medium Metro","3","2018","2018",10,350518,2.9,1.4,5.2
,"Larimer County, CO","08069","Medium Metro","3","2019","2019",11,356899,3.1,1.5,5.5
,"Larimer County, CO","08069","Medium Metro","3","2020","2020",17,360428,4.7,2.7,7.6
,"Pueblo County, CO","08101","Small Metro","4","2019","2019",10,168424,5.9,2.8,10.9
,"Pueblo County, CO","08101","Small Metro","4","2020","2020",10,169823,5.9,2.8,10.8
,"Pueblo County, CO","08101","Small Metro","4","2021","2021",14,169622,8.3,4.5,13.8
,"Fairfield County, CT","09001","Not Available","9","2018","2018",67,943823,7.1,5.5,9.0
,"Fairfield County, CT","09001","Not Available","9","2019","2019",64,943332,6.8,5.2,8.7
,"Fairfield County, CT","09001","Not Available","9","2020","2020",55,942426,5.8,4.4,7.6
,"Fairfield County, CT","09001","Not Available","9","2021","2021",28,959768,2.9,1.9,4.2
,"Fairfield County, CT","09001","Not Available","9","2022","2022",24,Not Available,Not Available,Not Available,Not Available
,"Fairfield County, CT","09001","Not Available","9","2023","2023",28,Not Available,Not Available,Not Available,Not Available
,"Fairfield County, CT","09001","Not Available","9","2024 ","2024",15,Not Available,Not Available,Not Available,Not Available
,"Hartford County, CT","09003","Not Available","9","2018","2018",64,892697,7.2,5.5,9.2
,"Hartford County, CT","09003","Not Available","9","2019","2019",58,891720,6.5,4.9,8.4
,"Hartford County, CT","09003","Not Available","9","2020","2020",29,889226,3.3,2.2,4.7
,"Hartford County, CT","09003","Not Available","9","2021","2021",18,896854,2.0,1.2,3.2
,"Hartford County, CT","09003","Not Available","9","2022","2022",15,Not Available,Not Available,Not Available,Not Available
,"Hartford County, CT","09003","Not Available","9","2023","2023",10,Not Available,Not Available,Not Available,Not Available
,"Litchfield County, CT","09005","Not Available","9","2018","2018",41,181111,22.6,16.2,30.7
,"Litchfield County, CT","09005","Not Available","9","2019","2019",38,180333,21.1,14.9,28.9
,"Litchfield County, CT","09005","Not Available","9","2020","2020",23,179610,12.8,8.1,19.2
,"Middlesex County, CT","09007","Not Available","9","2018","2018",14,162682,8.6,4.7,14.4
,"New Haven County, CT","09009","Not Available","9","2018","2018",118,857620,13.8,11.3,16.2
,"New Haven County, CT","09009","Not Available","9","2019","2019",146,854757,17.1,14.3,19.9
,"New Haven County, CT","09009","Not Available","9","2020","2020",86,851948,10.1,8.1,12.5
,"New Haven County, CT","09009","Not Available","9","2021","2021",50,863700,5.8,4.3,7.6
,"New Haven County, CT","09009","Not Available","9","2022","2022",46,Not Available,Not Available,Not Available,Not Available
,"New Haven County, CT","09009","Not Available","9","2023","2023",38,Not Available,Not Available,Not Available,Not Available
,"New Haven County, CT","09009","Not Available","9","2024 ","2024",20,Not Available,Not Available,Not Available,Not Available
,"New London County, CT","09011","Not Available","9","2018","2018",20,266784,7.5,4.6,11.6
,"New London County, CT","09011","Not Available","9","2019","2019",15,265206,5.7,3.2,9.3
,"Windham County, CT","09015","Not Available","9","2019","2019",10,116782,8.6,4.1,15.7
,"Kent County, DE","10001","Small Metro","4","2018","2018",23,178550,12.9,8.2,19.3
,"Kent County, DE","10001","Small Metro","4","2019","2019",17,180786,9.4,5.5,15.1
,"Kent County, DE","10001","Small Metro","4","2020","2020",17,183643,9.3,5.4,14.8
,"New Castle County, DE","10003","Large Fringe Metro","2","2018","2018",98,559335,17.5,14.2,21.4
,"New Castle County, DE","10003","Large Fringe Metro","2","2019","2019",69,558753,12.3,9.6,15.6
,"New Castle County, DE","10003","Large Fringe Metro","2","2020","2020",38,561531,6.8,4.8,9.3
,"New Castle County, DE","10003","Large Fringe Metro","2","2021","2021",40,571708,7.0,5.0,9.5
,"New Castle County, DE","10003","Large Fringe Metro","2","2022","2022",41,Not Available,Not Available,Not Available,Not Available
,"New Castle County, DE","10003","Large Fringe Metro","2","2023","2023",11,Not Available,Not Available,Not Available,Not Available
,"Sussex County, DE","10005","Micropolitan (Nonmetro)","5","2018","2018",22,229286,9.6,6.0,14.5
,"Sussex County, DE","10005","Micropolitan (Nonmetro)","5","2019","2019",23,234225,9.8,6.2,14.7
,"Sussex County, DE","10005","Micropolitan (Nonmetro)","5","2020","2020",36,241635,14.9,10.4,20.6
,"Sussex County, DE","10005","Micropolitan (Nonmetro)","5","2021","2021",19,247527,7.7,4.6,12.0
,"District of Columbia, DC","11001","Large Central Metro","1","2018","2018",78,702455,11.1,8.8,13.9
,"District of Columbia, DC","11001","Large Central Metro","1","2019","2019",85,705749,12.0,9.6,14.9
,"District of Columbia, DC","11001","Large Central Metro","1","2020","2020",86,712816,12.1,9.7,14.9
