"Notes","County","County Code","Single Race 6","Single Race 6 Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Santa Clara County, CA","06085","White","2106-3","2019","2019",34,1009277,3.4,2.3,4.7
,"Santa Clara County, CA","06085","White","2106-3","2020","2020",22,974387,2.3,1.4,3.4
,"Santa Clara County, CA","06085","White","2106-3","2021","2021",14,952310,1.5,0.8,2.5
,"Santa Clara County, CA","06085","White","2106-3","2023","2023",15,923040,1.6,0.9,2.7
,"Santa Cruz County, CA","06087","White","2106-3","2018","2018",12,238965,5.0,2.6,8.8
,"Santa Cruz County, CA","06087","White","2106-3","2019","2019",13,237679,5.5,2.9,9.4
,"Santa Cruz County, CA","06087","White","2106-3","2020","2020",10,234055,4.3,2.0,7.9
,"Sonoma County, CA","06097","White","2106-3","2018","2018",18,434068,4.1,2.5,6.6
,"Sonoma County, CA","06097","White","2106-3","2019","2019",17,428842,4.0,2.3,6.3
,"Ventura County, CA","06111","White","2106-3","2018","2018",38,715662,5.3,3.8,7.3
,"Ventura County, CA","06111","White","2106-3","2019","2019",40,711087,5.6,4.0,7.7
,"Ventura County, CA","06111","White","2106-3","2020","2020",33,704301,4.7,3.2,6.6
,"Ventura County, CA","06111","White","2106-3","2021","2021",19,701969,2.7,1.6,4.2
,"Ventura County, CA","06111","White","2106-3","2023","2023",10,689823,1.4,0.7,2.7
,"Adams County, CO","08001","White","2106-3","2018","2018",18,440318,4.1,2.4,6.5
,"Adams County, CO","08001","White","2106-3","2019","2019",14,443528,3.2,1.7,5.3
,"Adams County, CO","08001","White","2106-3","2020","2020",14,443705,3.2,1.7,5.3
,"Adams County, CO","08001","White","2106-3","2021","2021",13,444924,2.9,1.6,5.0
,"Arapahoe County, CO","08005","White","2106-3","2018","2018",29,499651,5.8,3.9,8.3
,"Arapahoe County, CO","08005","White","2106-3","2019","2019",24,502075,4.8,3.1,7.1
,"Arapahoe County, CO","08005","White","2106-3","2020","2020",18,500026,3.6,2.1,5.7
,"Arapahoe County, CO","08005","White","2106-3","2021","2021",14,496029,2.8,1.5,4.7
,"Boulder County, CO","08013","White","2106-3","2019","2019",13,293688,4.4,2.4,7.6
,"Boulder County, CO","08013","White","2106-3","2020","2020",11,294333,3.7,1.9,6.7
,"Denver County, CO","08031","White","2106-3","2018","2018",35,578904,6.0,4.2,8.4
,"Denver County, CO","08031","White","2106-3","2019","2019",26,588470,4.4,2.9,6.5
,"Denver County, CO","08031","White","2106-3","2020","2020",23,594047,3.9,2.5,5.8
,"Denver County, CO","08031","White","2106-3","2021","2021",19,573034,3.3,2.0,5.2
,"El Paso County, CO","08041","White","2106-3","2018","2018",63,594650,10.6,8.1,13.6
,"El Paso County, CO","08041","White","2106-3","2019","2019",38,600427,6.3,4.5,8.7
,"El Paso County, CO","08041","White","2106-3","2020","2020",52,604984,8.6,6.4,11.3
,"El Paso County, CO","08041","White","2106-3","2021","2021",42,611308,6.9,5.0,9.3
,"El Paso County, CO","08041","White","2106-3","2022","2022",23,611527,3.8,2.4,5.6
,"El Paso County, CO","08041","White","2106-3","2023","2023",11,612811,1.8,0.9,3.2
,"Jefferson County, CO","08059","White","2106-3","2018","2018",17,532081,3.2,1.9,5.1
,"Jefferson County, CO","08059","White","2106-3","2019","2019",12,533460,2.2,1.2,3.9
,"Jefferson County, CO","08059","White","2106-3","2020","2020",17,532304,3.2,1.9,5.1
,"Jefferson County, CO","08059","White","2106-3","2021","2021",16,528212,3.0,1.7,4.9
,"Larimer County, CO","08069","White","2106-3","2018","2018",10,324981,3.1,1.5,5.7
,"Larimer County, CO","08069","White","2106-3","2020","2020",15,332839,4.5,2.5,7.4
,"Pueblo County, CO","08101","White","2106-3","2020","2020",10,152012,6.6,3.2,12.1
,"Pueblo County, CO","08101","White","2106-3","2021","2021",12,151425,7.9,4.1,13.8
,"Fairfield County, CT","09001","Black or African American","2054-5","2018","2018",10,120100,8.3,4.0,15.3
,"Fairfield County, CT","09001","White","2106-3","2018","2018",57,742641,7.7,5.8,9.9
,"Fairfield County, CT","09001","White","2106-3","2019","2019",55,739179,7.4,5.6,9.7
,"Fairfield County, CT","09001","White","2106-3","2020","2020",46,734017,6.3,4.6,8.4
,"Fairfield County, CT","09001","White","2106-3","2021","2021",20,745052,2.7,1.6,4.1
,"Fairfield County, CT","09001","White","2106-3","2022","2022",16,Not Available,Not Available,Not Available,Not Available
,"Fairfield County, CT","09001","White","2106-3","2023","2023",22,Not Available,Not Available,Not Available,Not Available
,"Fairfield County, CT","09001","White","2106-3","2024 ","2024",13,Not Available,Not Available,Not Available,Not Available
,"Hartford County, CT","09003","White","2106-3","2018","2018",56,671681,8.3,6.3,10.8
,"Hartford County, CT","09003","White","2106-3","2019","2019",49,666859,7.3,5.4,9.7
,"Hartford County, CT","09003","White","2106-3","2020","2020",25,659045,3.8,2.5,5.6
,"Hartford County, CT","09003","White","2106-3","2021","2021",13,661351,2.0,1.0,3.4
,"Hartford County, CT","09003","White","2106-3","2022","2022",10,Not Available,Not Available,Not Available,Not Available
,"Litchfield County, CT","09005","White","2106-3","2018","2018",39,169456,23.0,16.4,31.5
,"Litchfield County, CT","09005","White","2106-3","2019","2019",36,168181,21.4,15.0,29.6
,"Litchfield County, CT","09005","White","2106-3","2020","2020",22,166876,13.2,8.3,20.0
,"Middlesex County, CT","09007","White","2106-3","2018","2018",11,144706,7.6,3.8,13.6
,"New Haven County, CT","09009","Black or African American","2054-5","2018","2018",12,128295,9.4,4.8,16.3
