"Notes","County","County Code","Single Race 6","Single Race 6 Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Kern County, CA","06029","White","2106-3","2021","2021",53,748959,7.1,5.3,9.3
,"Kern County, CA","06029","White","2106-3","2022","2022",46,746645,6.2,4.5,8.2
,"Kern County, CA","06029","White","2106-3","2023","2023",26,744168,3.5,2.3,5.1
,"Kern County, CA","06029","White","2106-3","2024 ","2024",30,749470,4.0,2.7,5.7
,"Lake County, CA","06033","White","2106-3","2018","2018",12,56154,21.4,11.0,37.3
,"Lake County, CA","06033","White","2106-3","2019","2019",11,56048,19.6,9.8,35.1
,"Lake County, CA","06033","White","2106-3","2021","2021",12,59419,20.2,10.4,35.3
,"Lake County, CA","06033","White","2106-3","2022","2022",17,58873,28.9,16.8,46.2
,"Los Angeles County, CA","06037","Asian","A","2018","2018",10,1551894,0.6,0.3,1.2
,"Los Angeles County, CA","06037","Black or African American","2054-5","2018","2018",19,906467,2.1,1.3,3.3
,"Los Angeles County, CA","06037","Black or African American","2054-5","2019","2019",16,899166,1.8,1.0,2.9
,"Los Angeles County, CA","06037","Black or African American","2054-5","2020","2020",16,895268,1.8,1.0,2.9
,"Los Angeles County, CA","06037","Black or African American","2054-5","2021","2021",13,881356,1.5,0.8,2.5
,"Los Angeles County, CA","06037","Black or African American","2054-5","2022","2022",23,874156,2.6,1.7,3.9
,"Los Angeles County, CA","06037","Black or African American","2054-5","2023","2023",14,872149,1.6,0.9,2.7
,"Los Angeles County, CA","06037","Black or African American","2054-5","2024 ","2024",19,865215,2.2,1.3,3.4
,"Los Angeles County, CA","06037","White","2106-3","2018","2018",150,7151444,2.1,1.8,2.4
,"Los Angeles County, CA","06037","White","2106-3","2019","2019",131,7098309,1.8,1.5,2.2
,"Los Angeles County, CA","06037","White","2106-3","2020","2020",131,6981210,1.9,1.6,2.2
,"Los Angeles County, CA","06037","White","2106-3","2021","2021",126,6901193,1.8,1.5,2.1
,"Los Angeles County, CA","06037","White","2106-3","2022","2022",114,6802138,1.7,1.4,2.0
,"Los Angeles County, CA","06037","White","2106-3","2023","2023",90,6725032,1.3,1.1,1.6
,"Los Angeles County, CA","06037","White","2106-3","2024 ","2024",86,6756981,1.3,1.0,1.6
,"Mendocino County, CA","06045","White","2106-3","2021","2021",13,78206,16.6,8.9,28.4
,"Merced County, CA","06047","White","2106-3","2019","2019",12,228145,5.3,2.7,9.2
,"Nevada County, CA","06057","White","2106-3","2021","2021",13,95963,13.5,7.2,23.2
,"Orange County, CA","06059","White","2106-3","2018","2018",92,2278624,4.0,3.3,5.0
,"Orange County, CA","06059","White","2106-3","2019","2019",79,2258705,3.5,2.8,4.4
,"Orange County, CA","06059","White","2106-3","2020","2020",110,2221855,5.0,4.0,5.9
,"Orange County, CA","06059","White","2106-3","2021","2021",120,2208819,5.4,4.5,6.4
,"Orange County, CA","06059","White","2106-3","2022","2022",90,2177457,4.1,3.3,5.1
,"Orange County, CA","06059","White","2106-3","2023","2023",63,2152849,2.9,2.2,3.7
,"Orange County, CA","06059","White","2106-3","2024 ","2024",58,2154407,2.7,2.0,3.5
,"Placer County, CA","06061","White","2106-3","2019","2019",14,334288,4.2,2.3,7.0
,"Placer County, CA","06061","White","2106-3","2020","2020",10,335157,3.0,1.4,5.5
,"Placer County, CA","06061","White","2106-3","2021","2021",10,340079,2.9,1.4,5.4
,"Placer County, CA","06061","White","2106-3","2022","2022",14,340635,4.1,2.2,6.9
,"Riverside County, CA","06065","White","2106-3","2018","2018",21,1954479,1.1,0.7,1.6
,"Riverside County, CA","06065","White","2106-3","2019","2019",38,1966247,1.9,1.4,2.7
,"Riverside County, CA","06065","White","2106-3","2020","2020",55,1966058,2.8,2.1,3.6
,"Riverside County, CA","06065","White","2106-3","2021","2021",60,1935002,3.1,2.4,4.0
,"Riverside County, CA","06065","White","2106-3","2022","2022",52,1939198,2.7,2.0,3.5
,"Riverside County, CA","06065","White","2106-3","2023","2023",48,1943144,2.5,1.8,3.3
,"Riverside County, CA","06065","White","2106-3","2024 ","2024",38,1963714,1.9,1.4,2.7
,"Sacramento County, CA","06067","Black or African American","2054-5","2021","2021",15,172836,8.7,4.9,14.3
