"Notes","County","County Code","Education","Education Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Orange County, CA","06059","High school graduate or GED completed","3","2023","2023",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","High school graduate or GED completed","3","2024 ","2024",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","Some college credit, but not a degree.","4","2021","2021",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","Some college credit, but not a degree.","4","2022","2022",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","Some college credit, but not a degree.","4","2023","2023",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","Some college credit, but not a degree.","4","2024 ","2024",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","Associate degree (AA,AS)","5","2021","2021",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","Associate degree (AA,AS)","5","2022","2022",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","Bachelor?s degree (BA, AB, BS)","6","2021","2021",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","Bachelor?s degree (BA, AB, BS)","6","2022","2022",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","Bachelor?s degree (BA, AB, BS)","6","2024 ","2024",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","Not Available","10","2018","2018",98,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","Not Available","10","2019","2019",90,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","Not Available","10","2020","2020",116,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Placer County, CA","06061","Not Available","10","2019","2019",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Placer County, CA","06061","Not Available","10","2020","2020",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","9th through 12th grade with no diploma","2","2021","2021",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","High school graduate or GED completed","3","2021","2021",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","High school graduate or GED completed","3","2022","2022",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","High school graduate or GED completed","3","2023","2023",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","High school graduate or GED completed","3","2024 ","2024",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","Some college credit, but not a degree.","4","2021","2021",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","Some college credit, but not a degree.","4","2022","2022",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","Bachelor?s degree (BA, AB, BS)","6","2021","2021",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","Not Available","10","2018","2018",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","Not Available","10","2019","2019",46,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","Not Available","10","2020","2020",69,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","High school graduate or GED completed","3","2021","2021",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","High school graduate or GED completed","3","2022","2022",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","High school graduate or GED completed","3","2023","2023",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","High school graduate or GED completed","3","2024 ","2024",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","Some college credit, but not a degree.","4","2021","2021",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","Not Available","10","2018","2018",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","Not Available","10","2019","2019",48,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","Not Available","10","2020","2020",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","High school graduate or GED completed","3","2024 ","2024",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","Not Available","10","2018","2018",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","Not Available","10","2019","2019",21,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","Not Available","10","2020","2020",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","High school graduate or GED completed","3","2021","2021",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","High school graduate or GED completed","3","2022","2022",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","High school graduate or GED completed","3","2023","2023",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","High school graduate or GED completed","3","2024 ","2024",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Some college credit, but not a degree.","4","2021","2021",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Some college credit, but not a degree.","4","2022","2022",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Some college credit, but not a degree.","4","2023","2023",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Bachelor?s degree (BA, AB, BS)","6","2021","2021",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Bachelor?s degree (BA, AB, BS)","6","2022","2022",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Bachelor?s degree (BA, AB, BS)","6","2024 ","2024",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Not Available","10","2018","2018",103,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Not Available","10","2019","2019",82,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Not Available","10","2020","2020",89,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","High school graduate or GED completed","3","2023","2023",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","High school graduate or GED completed","3","2024 ","2024",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Not Available","10","2018","2018",58,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Not Available","10","2019","2019",56,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Not Available","10","2020","2020",44,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Joaquin County, CA","06077","High school graduate or GED completed","3","2022","2022",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Joaquin County, CA","06077","High school graduate or GED completed","3","2023","2023",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Joaquin County, CA","06077","Not Available","10","2019","2019",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Joaquin County, CA","06077","Not Available","10","2020","2020",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Luis Obispo County, CA","06079","High school graduate or GED completed","3","2022","2022",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Luis Obispo County, CA","06079","High school graduate or GED completed","3","2023","2023",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Luis Obispo County, CA","06079","Not Available","10","2020","2020",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Mateo County, CA","06081","Not Available","10","2018","2018",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Mateo County, CA","06081","Not Available","10","2019","2019",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Mateo County, CA","06081","Not Available","10","2020","2020",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Clara County, CA","06085","High school graduate or GED completed","3","2021","2021",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Clara County, CA","06085","High school graduate or GED completed","3","2022","2022",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Clara County, CA","06085","High school graduate or GED completed","3","2024 ","2024",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Clara County, CA","06085","Bachelor?s degree (BA, AB, BS)","6","2022","2022",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Clara County, CA","06085","Not Available","10","2018","2018",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Clara County, CA","06085","Not Available","10","2019","2019",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Clara County, CA","06085","Not Available","10","2020","2020",39,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Cruz County, CA","06087","Not Available","10","2019","2019",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Solano County, CA","06095","Not Available","10","2020","2020",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sonoma County, CA","06097","High school graduate or GED completed","3","2023","2023",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sonoma County, CA","06097","Not Available","10","2018","2018",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sonoma County, CA","06097","Not Available","10","2019","2019",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sonoma County, CA","06097","Not Available","10","2020","2020",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Stanislaus County, CA","06099","High school graduate or GED completed","3","2021","2021",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Stanislaus County, CA","06099","High school graduate or GED completed","3","2023","2023",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Stanislaus County, CA","06099","Not Available","10","2018","2018",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Stanislaus County, CA","06099","Not Available","10","2019","2019",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Stanislaus County, CA","06099","Not Available","10","2020","2020",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Ventura County, CA","06111","High school graduate or GED completed","3","2021","2021",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Ventura County, CA","06111","High school graduate or GED completed","3","2022","2022",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Ventura County, CA","06111","High school graduate or GED completed","3","2023","2023",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Ventura County, CA","06111","High school graduate or GED completed","3","2024 ","2024",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Ventura County, CA","06111","Some college credit, but not a degree.","4","2021","2021",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Ventura County, CA","06111","Bachelor?s degree (BA, AB, BS)","6","2021","2021",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Ventura County, CA","06111","Not Available","10","2018","2018",39,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Ventura County, CA","06111","Not Available","10","2019","2019",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Ventura County, CA","06111","Not Available","10","2020","2020",35,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Adams County, CO","08001","High school graduate or GED completed","3","2021","2021",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Adams County, CO","08001","High school graduate or GED completed","3","2022","2022",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Adams County, CO","08001","Not Available","10","2018","2018",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Adams County, CO","08001","Not Available","10","2019","2019",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Adams County, CO","08001","Not Available","10","2020","2020",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
