"Notes","County","County Code","Education","Education Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Queens County, NY","36081","Not Available","10","2020","2020",34,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Richmond County, NY","36085","High school graduate or GED completed","3","2021","2021",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Richmond County, NY","36085","Not Available","10","2020","2020",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Suffolk County, NY","36103","High school graduate or GED completed","3","2021","2021",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Suffolk County, NY","36103","High school graduate or GED completed","3","2022","2022",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Suffolk County, NY","36103","High school graduate or GED completed","3","2024 ","2024",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Suffolk County, NY","36103","Not Available","10","2018","2018",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Suffolk County, NY","36103","Not Available","10","2019","2019",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Suffolk County, NY","36103","Not Available","10","2020","2020",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Westchester County, NY","36119","Not Available","10","2018","2018",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Westchester County, NY","36119","Not Available","10","2020","2020",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Franklin County, OH","39049","High school graduate or GED completed","3","2021","2021",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Franklin County, OH","39049","High school graduate or GED completed","3","2022","2022",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Franklin County, OH","39049","High school graduate or GED completed","3","2024 ","2024",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Franklin County, OH","39049","Not Available","10","2018","2018",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Franklin County, OH","39049","Not Available","10","2019","2019",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
