"Notes","County","County Code","Education","Education Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Los Angeles County, CA","06037","Bachelor?s degree (BA, AB, BS)","6","2024 ","2024",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Unknown or Not Stated","9","2021","2021",43,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Unknown or Not Stated","9","2022","2022",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Unknown or Not Stated","9","2023","2023",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Unknown or Not Stated","9","2024 ","2024",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Not Available","10","2018","2018",177,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Not Available","10","2019","2019",232,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Los Angeles County, CA","06037","Not Available","10","2020","2020",325,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Monterey County, CA","06053","Not Available","10","2020","2020",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","9th through 12th grade with no diploma","2","2022","2022",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","High school graduate or GED completed","3","2021","2021",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","High school graduate or GED completed","3","2022","2022",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","High school graduate or GED completed","3","2023","2023",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","High school graduate or GED completed","3","2024 ","2024",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","Some college credit, but not a degree.","4","2021","2021",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","Some college credit, but not a degree.","4","2022","2022",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","Some college credit, but not a degree.","4","2023","2023",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","Some college credit, but not a degree.","4","2024 ","2024",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","Bachelor?s degree (BA, AB, BS)","6","2022","2022",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","Bachelor?s degree (BA, AB, BS)","6","2023","2023",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","Not Available","10","2018","2018",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","Not Available","10","2019","2019",44,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Orange County, CA","06059","Not Available","10","2020","2020",77,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","9th through 12th grade with no diploma","2","2022","2022",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","9th through 12th grade with no diploma","2","2023","2023",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","9th through 12th grade with no diploma","2","2024 ","2024",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","High school graduate or GED completed","3","2021","2021",45,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","High school graduate or GED completed","3","2022","2022",43,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","High school graduate or GED completed","3","2023","2023",42,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","High school graduate or GED completed","3","2024 ","2024",40,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","Some college credit, but not a degree.","4","2021","2021",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","Some college credit, but not a degree.","4","2022","2022",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","Some college credit, but not a degree.","4","2023","2023",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","Some college credit, but not a degree.","4","2024 ","2024",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","Not Available","10","2018","2018",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","Not Available","10","2019","2019",46,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","Not Available","10","2020","2020",75,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","High school graduate or GED completed","3","2021","2021",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","High school graduate or GED completed","3","2022","2022",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","High school graduate or GED completed","3","2023","2023",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","High school graduate or GED completed","3","2024 ","2024",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","Some college credit, but not a degree.","4","2022","2022",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","Some college credit, but not a degree.","4","2023","2023",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","Not Available","10","2018","2018",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","Not Available","10","2019","2019",35,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","Not Available","10","2020","2020",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","High school graduate or GED completed","3","2021","2021",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","High school graduate or GED completed","3","2022","2022",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","High school graduate or GED completed","3","2023","2023",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","High school graduate or GED completed","3","2024 ","2024",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","Not Available","10","2018","2018",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","Not Available","10","2019","2019",21,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","Not Available","10","2020","2020",41,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","9th through 12th grade with no diploma","2","2021","2021",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","9th through 12th grade with no diploma","2","2022","2022",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","High school graduate or GED completed","3","2021","2021",56,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","High school graduate or GED completed","3","2022","2022",54,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","High school graduate or GED completed","3","2023","2023",36,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","High school graduate or GED completed","3","2024 ","2024",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Some college credit, but not a degree.","4","2021","2021",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Some college credit, but not a degree.","4","2022","2022",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Some college credit, but not a degree.","4","2023","2023",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Some college credit, but not a degree.","4","2024 ","2024",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Associate degree (AA,AS)","5","2021","2021",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Associate degree (AA,AS)","5","2023","2023",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Bachelor?s degree (BA, AB, BS)","6","2021","2021",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Bachelor?s degree (BA, AB, BS)","6","2022","2022",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Not Available","10","2018","2018",60,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Not Available","10","2019","2019",52,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Not Available","10","2020","2020",109,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","8th grade or less","1","2022","2022",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","8th grade or less","1","2023","2023",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","8th grade or less","1","2024 ","2024",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","9th through 12th grade with no diploma","2","2021","2021",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","9th through 12th grade with no diploma","2","2022","2022",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","9th through 12th grade with no diploma","2","2023","2023",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","9th through 12th grade with no diploma","2","2024 ","2024",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","High school graduate or GED completed","3","2021","2021",59,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","High school graduate or GED completed","3","2022","2022",70,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","High school graduate or GED completed","3","2023","2023",101,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","High school graduate or GED completed","3","2024 ","2024",80,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Some college credit, but not a degree.","4","2021","2021",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Some college credit, but not a degree.","4","2022","2022",38,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Some college credit, but not a degree.","4","2023","2023",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Some college credit, but not a degree.","4","2024 ","2024",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Associate degree (AA,AS)","5","2024 ","2024",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Bachelor?s degree (BA, AB, BS)","6","2021","2021",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Bachelor?s degree (BA, AB, BS)","6","2022","2022",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Bachelor?s degree (BA, AB, BS)","6","2023","2023",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Bachelor?s degree (BA, AB, BS)","6","2024 ","2024",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Unknown or Not Stated","9","2021","2021",63,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Unknown or Not Stated","9","2022","2022",41,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Unknown or Not Stated","9","2023","2023",83,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Unknown or Not Stated","9","2024 ","2024",54,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Not Available","10","2018","2018",96,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Not Available","10","2019","2019",177,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Not Available","10","2020","2020",217,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Joaquin County, CA","06077","High school graduate or GED completed","3","2021","2021",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
