"Notes","County","County Code","Sex","Sex Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Ventura County, CA","06111","Female","F","2022","2022",12,417678,2.9,1.5,5.0
,"Ventura County, CA","06111","Female","F","2024 ","2024",16,420510,3.8,2.2,6.2
,"Ventura County, CA","06111","Male","M","2018","2018",21,421319,5.0,3.1,7.6
,"Ventura County, CA","06111","Male","M","2019","2019",26,418712,6.2,4.1,9.1
,"Ventura County, CA","06111","Male","M","2020","2020",22,416460,5.3,3.3,8.0
,"Ventura County, CA","06111","Male","M","2021","2021",27,418064,6.5,4.3,9.4
,"Ventura County, CA","06111","Male","M","2022","2022",18,414927,4.3,2.6,6.9
,"Ventura County, CA","06111","Male","M","2023","2023",27,412112,6.6,4.3,9.5
,"Ventura County, CA","06111","Male","M","2024 ","2024",13,414917,3.1,1.7,5.4
,"Adams County, CO","08001","Female","F","2018","2018",11,253398,4.3,2.2,7.8
,"Adams County, CO","08001","Female","F","2019","2019",11,255806,4.3,2.1,7.7
,"Adams County, CO","08001","Female","F","2020","2020",12,257282,4.7,2.4,8.1
,"Adams County, CO","08001","Female","F","2021","2021",22,256961,8.6,5.4,13.0
,"Adams County, CO","08001","Female","F","2022","2022",13,258856,5.0,2.7,8.6
,"Adams County, CO","08001","Female","F","2024 ","2024",14,267135,5.2,2.9,8.8
,"Adams County, CO","08001","Male","M","2018","2018",22,258470,8.5,5.3,12.9
,"Adams County, CO","08001","Male","M","2020","2020",13,262601,5.0,2.6,8.5
,"Adams County, CO","08001","Male","M","2021","2021",20,265179,7.5,4.6,11.6
,"Adams County, CO","08001","Male","M","2022","2022",13,268719,4.8,2.6,8.3
,"Adams County, CO","08001","Male","M","2023","2023",13,270868,4.8,2.6,8.2
,"Arapahoe County, CO","08005","Female","F","2018","2018",13,328502,4.0,2.1,6.8
,"Arapahoe County, CO","08005","Female","F","2019","2019",21,330733,6.3,3.9,9.7
,"Arapahoe County, CO","08005","Female","F","2021","2021",12,327466,3.7,1.9,6.4
,"Arapahoe County, CO","08005","Female","F","2023","2023",15,328975,4.6,2.6,7.5
,"Arapahoe County, CO","08005","Female","F","2024 ","2024",17,334357,5.1,3.0,8.1
,"Arapahoe County, CO","08005","Male","M","2018","2018",15,322713,4.6,2.6,7.7
,"Arapahoe County, CO","08005","Male","M","2019","2019",11,325857,3.4,1.7,6.0
,"Arapahoe County, CO","08005","Male","M","2020","2020",10,326642,3.1,1.5,5.6
,"Arapahoe County, CO","08005","Male","M","2021","2021",12,327434,3.7,1.9,6.4
,"Arapahoe County, CO","08005","Male","M","2022","2022",16,328180,4.9,2.8,7.9
,"Denver County, CO","08031","Female","F","2018","2018",18,356902,5.0,3.0,8.0
,"Denver County, CO","08031","Female","F","2019","2019",32,362733,8.8,6.0,12.5
,"Denver County, CO","08031","Female","F","2020","2020",31,366671,8.5,5.7,12.0
,"Denver County, CO","08031","Female","F","2021","2021",24,353082,6.8,4.4,10.1
,"Denver County, CO","08031","Female","F","2023","2023",10,355110,2.8,1.4,5.2
,"Denver County, CO","08031","Female","F","2024 ","2024",15,360708,4.2,2.3,6.9
,"Denver County, CO","08031","Male","M","2018","2018",20,359590,5.6,3.4,8.6
,"Denver County, CO","08031","Male","M","2019","2019",20,364478,5.5,3.4,8.5
,"Denver County, CO","08031","Male","M","2020","2020",47,368867,12.7,9.4,16.9
,"Denver County, CO","08031","Male","M","2021","2021",51,358381,14.2,10.6,18.7
,"Denver County, CO","08031","Male","M","2022","2022",35,361025,9.7,6.8,13.5
,"Denver County, CO","08031","Male","M","2023","2023",29,361467,8.0,5.4,11.5
,"Denver County, CO","08031","Male","M","2024 ","2024",21,368311,5.7,3.5,8.7
,"El Paso County, CO","08041","Female","F","2018","2018",11,353136,3.1,1.6,5.6
,"El Paso County, CO","08041","Female","F","2019","2019",12,356549,3.4,1.7,5.9
,"El Paso County, CO","08041","Female","F","2020","2020",15,360260,4.2,2.3,6.9
,"El Paso County, CO","08041","Female","F","2021","2021",14,363009,3.9,2.1,6.5
,"El Paso County, CO","08041","Female","F","2022","2022",16,363184,4.4,2.5,7.2
,"El Paso County, CO","08041","Female","F","2023","2023",14,366043,3.8,2.1,6.4
,"El Paso County, CO","08041","Male","M","2018","2018",19,360720,5.3,3.2,8.2
,"El Paso County, CO","08041","Male","M","2019","2019",16,363854,4.4,2.5,7.1
,"El Paso County, CO","08041","Male","M","2020","2020",21,368050,5.7,3.5,8.7
,"El Paso County, CO","08041","Male","M","2021","2021",29,374858,7.7,5.2,11.1
,"El Paso County, CO","08041","Male","M","2022","2022",13,377383,3.4,1.8,5.9
,"El Paso County, CO","08041","Male","M","2023","2023",17,378172,4.5,2.6,7.2
,"El Paso County, CO","08041","Male","M","2024 ","2024",12,382356,3.1,1.6,5.5
,"Jefferson County, CO","08059","Female","F","2018","2018",12,290939,4.1,2.1,7.2
,"Jefferson County, CO","08059","Female","F","2019","2019",11,291778,3.8,1.9,6.7
,"Jefferson County, CO","08059","Female","F","2020","2020",13,291837,4.5,2.4,7.6
,"Jefferson County, CO","08059","Female","F","2021","2021",15,287988,5.2,2.9,8.6
,"Jefferson County, CO","08059","Female","F","2022","2022",16,285648,5.6,3.2,9.1
,"Jefferson County, CO","08059","Female","F","2023","2023",10,286306,3.5,1.7,6.4
,"Jefferson County, CO","08059","Male","M","2019","2019",11,291103,3.8,1.9,6.8
,"Jefferson County, CO","08059","Male","M","2020","2020",19,291446,6.5,3.9,10.2
