"Notes","County","County Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Kings County, NY","36047","2024 ","2024",58,2617631,2.2,1.7,2.9
,"Monroe County, NY","36055","2018","2018",10,742474,1.3,0.6,2.5
,"Monroe County, NY","36055","2020","2020",17,740900,2.3,1.3,3.7
,"Monroe County, NY","36055","2024 ","2024",12,752202,1.6,0.8,2.8
,"Nassau County, NY","36059","2019","2019",24,1356924,1.8,1.1,2.6
,"Nassau County, NY","36059","2020","2020",14,1351334,1.0,0.6,1.7
,"Nassau County, NY","36059","2021","2021",14,1390907,1.0,0.6,1.7
,"Nassau County, NY","36059","2022","2022",12,1383726,0.9,0.4,1.5
,"Nassau County, NY","36059","2023","2023",13,1381715,0.9,0.5,1.6
,"Nassau County, NY","36059","2024 ","2024",16,1392438,1.1,0.7,1.9
,"New York County, NY","36061","2018","2018",29,1628701,1.8,1.2,2.6
,"New York County, NY","36061","2019","2019",35,1628706,2.1,1.5,3.0
,"New York County, NY","36061","2020","2020",44,1611989,2.7,2.0,3.7
,"New York County, NY","36061","2021","2021",59,1576876,3.7,2.8,4.8
,"New York County, NY","36061","2022","2022",43,1596273,2.7,1.9,3.6
,"New York County, NY","36061","2023","2023",59,1597451,3.7,2.8,4.8
,"New York County, NY","36061","2024 ","2024",35,1660664,2.1,1.5,2.9
,"Onondaga County, NY","36067","2020","2020",10,459214,2.2,1.0,4.0
,"Queens County, NY","36081","2018","2018",20,2278906,0.9,0.5,1.4
,"Queens County, NY","36081","2019","2019",16,2253858,0.7,0.4,1.2
,"Queens County, NY","36081","2020","2020",34,2225821,1.5,1.1,2.1
,"Queens County, NY","36081","2021","2021",31,2331143,1.3,0.9,1.9
,"Queens County, NY","36081","2022","2022",33,2278029,1.4,1.0,2.0
,"Queens County, NY","36081","2023","2023",37,2252196,1.6,1.2,2.3
,"Queens County, NY","36081","2024 ","2024",25,2316841,1.1,0.7,1.6
,"Richmond County, NY","36085","2020","2020",13,475327,2.7,1.5,4.7
,"Richmond County, NY","36085","2021","2021",19,493494,3.9,2.3,6.0
,"Richmond County, NY","36085","2022","2022",11,491133,2.2,1.1,4.0
,"Richmond County, NY","36085","2023","2023",22,490687,4.5,2.8,6.8
,"Suffolk County, NY","36103","2018","2018",13,1481093,0.9,0.5,1.5
,"Suffolk County, NY","36103","2019","2019",13,1476601,0.9,0.5,1.5
,"Suffolk County, NY","36103","2020","2020",18,1474273,1.2,0.7,1.9
,"Suffolk County, NY","36103","2021","2021",29,1526344,1.9,1.3,2.7
,"Suffolk County, NY","36103","2022","2022",31,1525465,2.0,1.4,2.9
,"Suffolk County, NY","36103","2023","2023",21,1523170,1.4,0.9,2.1
,"Suffolk County, NY","36103","2024 ","2024",25,1535909,1.6,1.1,2.4
,"Westchester County, NY","36119","2018","2018",10,967612,1.0,0.5,1.9
,"Westchester County, NY","36119","2020","2020",10,965802,1.0,0.5,1.9
,"Westchester County, NY","36119","2021","2021",13,997895,1.3,0.7,2.2
