"Notes","County","County Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Richland County, SC","45079","2020","2020",36,419051,8.6,6.0,11.9
,"Richland County, SC","45079","2021","2021",38,418307,9.1,6.4,12.5
,"Richland County, SC","45079","2022","2022",52,421566,12.3,9.2,16.2
,"Richland County, SC","45079","2023","2023",51,425138,12.0,8.9,15.8
,"Richland County, SC","45079","2024 ","2024",34,430651,7.9,5.5,11.0
,"Spartanburg County, SC","45083","2018","2018",13,313888,4.1,2.2,7.1
,"Spartanburg County, SC","45083","2019","2019",13,319785,4.1,2.2,7.0
,"Spartanburg County, SC","45083","2020","2020",11,326205,3.4,1.7,6.0
,"Spartanburg County, SC","45083","2021","2021",26,335864,7.7,5.1,11.3
,"Spartanburg County, SC","45083","2022","2022",30,345831,8.7,5.9,12.4
,"Spartanburg County, SC","45083","2023","2023",33,356698,9.3,6.4,13.0
,"Spartanburg County, SC","45083","2024 ","2024",19,369256,5.1,3.1,8.0
,"Sumter County, SC","45085","2018","2018",10,106512,9.4,4.5,17.3
,"Sumter County, SC","45085","2022","2022",13,104012,12.5,6.7,21.4
,"Sumter County, SC","45085","2023","2023",11,104165,10.6,5.3,18.9
,"Williamsburg County, SC","45089","2021","2021",11,30484,36.1,18.0,64.6
,"Williamsburg County, SC","45089","2023","2023",13,29891,43.5,23.2,74.4
,"York County, SC","45091","2018","2018",13,274118,4.7,2.5,8.1
,"York County, SC","45091","2020","2020",15,289105,5.2,2.9,8.6
,"York County, SC","45091","2021","2021",23,288595,8.0,5.1,12.0
,"York County, SC","45091","2022","2022",11,294248,3.7,1.9,6.7
,"York County, SC","45091","2023","2023",20,298320,6.7,4.1,10.4
,"York County, SC","45091","2024 ","2024",24,303001,7.9,5.1,11.8
,"Anderson County, TN","47001","2023","2023",10,80234,12.5,6.0,22.9
,"Blount County, TN","47009","2021","2021",10,137605,7.3,3.5,13.4
,"Davidson County, TN","47037","2018","2018",63,692587,9.1,7.0,11.6
,"Davidson County, TN","47037","2019","2019",90,694144,13.0,10.4,15.9
,"Davidson County, TN","47037","2020","2020",118,694176,17.0,13.9,20.1
,"Davidson County, TN","47037","2021","2021",158,703953,22.4,18.9,25.9
,"Davidson County, TN","47037","2022","2022",171,708144,24.1,20.5,27.8
,"Davidson County, TN","47037","2023","2023",237,712334,33.3,29.0,37.5
,"Davidson County, TN","47037","2024 ","2024",180,729505,24.7,21.1,28.3
,"Hamilton County, TN","47065","2019","2019",16,367804,4.4,2.5,7.1
,"Hamilton County, TN","47065","2020","2020",11,371662,3.0,1.5,5.3
,"Hamilton County, TN","47065","2021","2021",17,369135,4.6,2.7,7.4
,"Hamilton County, TN","47065","2022","2022",27,374682,7.2,4.7,10.5
,"Hamilton County, TN","47065","2023","2023",33,379864,8.7,6.0,12.2
,"Hamilton County, TN","47065","2024 ","2024",30,386256,7.8,5.2,11.1
,"Knox County, TN","47093","2018","2018",45,465289,9.7,7.1,12.9
,"Knox County, TN","47093","2019","2019",41,470313,8.7,6.3,11.8
,"Knox County, TN","47093","2020","2020",56,475609,11.8,8.9,15.3
,"Knox County, TN","47093","2021","2021",65,486677,13.4,10.3,17.0
,"Knox County, TN","47093","2022","2022",86,494574,17.4,13.9,21.5
,"Knox County, TN","47093","2023","2023",116,500669,23.2,19.0,27.4
,"Knox County, TN","47093","2024 ","2024",67,506748,13.2,10.2,16.8
